goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     854	   1431283 ns/op	 2446335 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-10        	     854	   1397047 ns/op	 2446335 B/op	   40061 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     594	   2009855 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     603	   2013373 ns/op	 3274115 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     595	   2058150 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     584	   2028262 ns/op	 3274118 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     586	   2025293 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     582	   2040251 ns/op	 3274119 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     591	   2234553 ns/op	 3274118 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     564	   2054831 ns/op	 3274119 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     595	   2054804 ns/op	 3274117 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-10     	     561	   2061045 ns/op	 3274114 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     591	   2027384 ns/op	 3274112 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     591	   2016170 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     597	   2022817 ns/op	 3274119 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     592	   2066783 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     580	   2063534 ns/op	 3274118 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     586	   2037448 ns/op	 3274114 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     585	   2171512 ns/op	 3274117 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     574	   2077520 ns/op	 3274116 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     579	   2062521 ns/op	 3274117 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-10     	     582	   2084742 ns/op	 3274118 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     613	   1968906 ns/op	 3048829 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     577	   2035459 ns/op	 3048827 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     595	   1988984 ns/op	 3048824 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     613	   1968352 ns/op	 3048826 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     604	   2013754 ns/op	 3048831 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     595	   1986096 ns/op	 3048826 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     590	   2017926 ns/op	 3048830 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     597	   1972343 ns/op	 3048827 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     604	   1971405 ns/op	 3048829 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-10  	     603	   1980070 ns/op	 3048827 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     723	   1679231 ns/op	 3416502 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     693	   1692890 ns/op	 3416502 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     691	   1701424 ns/op	 3416498 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     705	   1689288 ns/op	 3416502 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     708	   1684378 ns/op	 3416501 B/op	   24698 allocs/op
