goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      25	  42727658 ns/op	68005721 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  45513009 ns/op	68006173 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      24	  44406323 ns/op	68005806 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      26	  44803314 ns/op	68002262 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      24	  43115149 ns/op	68002256 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      26	  42918683 ns/op	68002229 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   8919276 ns/op	 5129466 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     130	   9129027 ns/op	 5129477 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   8967002 ns/op	 5129481 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   8989434 ns/op	 5129453 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   9023927 ns/op	 5129463 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     134	   9236415 ns/op	 5129481 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     129	   9214810 ns/op	 5129455 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     130	   9003340 ns/op	 5129472 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   9000054 ns/op	 5129472 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     132	   9078509 ns/op	 5129466 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	      92	  11413644 ns/op	 6728330 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11534960 ns/op	 6728324 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11451060 ns/op	 6728325 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11457031 ns/op	 6728324 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11451873 ns/op	 6728322 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11405003 ns/op	 6728335 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11514312 ns/op	 6728320 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11457462 ns/op	 6728348 B/op	  135488 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11484105 ns/op	 6728328 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11940126 ns/op	 6728320 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     294	   4065285 ns/op	 4849300 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     290	   4059577 ns/op	 4849311 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     300	   3987264 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     300	   3999864 ns/op	 4849306 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     294	   3993599 ns/op	 4849306 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     302	   4018942 ns/op	 4849306 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     289	   3997481 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     304	   3978708 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     297	   3925586 ns/op	 4849303 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     301	   3963372 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      64	  18072650 ns/op	24366488 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      54	  18584218 ns/op	24366500 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      64	  18239795 ns/op	24367793 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      63	  18204960 ns/op	24366488 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      68	  18418126 ns/op	24366481 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      68	  19240567 ns/op	24366487 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      51	  20196840 ns/op	24366494 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      62	  20189552 ns/op	24366495 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      60	  20001460 ns/op	24366491 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      61	  19963328 ns/op	24366492 B/op	  400295 allocs/op
PASS
ok  	github.com/wbrown/janus-datalog/datalog/executor	280.165s
