goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 2719018	       423.1 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4992	    256140 ns/op	 1355157 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4389	    267246 ns/op	 1355190 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4326	    269827 ns/op	 1355194 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4509	    279782 ns/op	 1355183 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/Nothing_bound-10   	    4492	    265774 ns/op	 1355183 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4844	    261576 ns/op	 1355165 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4687	    262317 ns/op	 1355173 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4386	    265594 ns/op	 1355190 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4683	    263278 ns/op	 1355173 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4652	    267064 ns/op	 1355174 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6245206	       187.9 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6418638	       186.4 ns/op	     681 B/op	       7 allocs/op
