goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4567	    265762 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4789	    265853 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4305	    264458 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4658	    267321 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4546	    268186 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4459	    264884 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4620	    264642 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4801	    268064 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4557	    263306 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4515	    262803 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3298	    373387 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3262	    374474 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3159	    376824 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3123	    377051 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3334	    374074 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3220	    377785 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3128	    378694 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3111	    375347 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3117	    377871 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3289	    400613 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   54187	     22300 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   54254	     22288 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   53520	     22318 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   53155	     22374 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   53082	     22475 ns/op	   43352 B/op	     826 allocs/op
