goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinStreaming/size_1000-32                   	    4462	    258128 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     333	   3599048 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     336	   3582410 ns/op	 4849308 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     334	   3603785 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     339	   3650555 ns/op	 4849303 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     334	   3527656 ns/op	 4849306 B/op	   80096 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4476	    258591 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4585	    258016 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4830	    272274 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4587	    261097 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4760	    260347 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     333	   3547123 ns/op	 4849308 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     333	   3604408 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     332	   3554518 ns/op	 4849323 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     333	   3552690 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     337	   3555374 ns/op	 4849309 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      68	  16023343 ns/op	24366496 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      67	  16442981 ns/op	24366492 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      70	  16374058 ns/op	24366495 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      68	  16308428 ns/op	24366487 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      67	  16142703 ns/op	24366498 B/op	  400295 allocs/op
PASS
