goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     654	   1856724 ns/op	 3048825 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     649	   1855226 ns/op	 3048826 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     658	   1839929 ns/op	 3048829 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     646	   2271383 ns/op	 3048837 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     454	   2212046 ns/op	 3048827 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     604	   1867551 ns/op	 3048826 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     646	   2131378 ns/op	 3048825 B/op	   55086 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    4977	    219316 ns/op	  479764 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5432	    225927 ns/op	  479766 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5420	    215939 ns/op	  479764 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5767	    232912 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5448	    215510 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5760	    216350 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5596	    215720 ns/op	  479766 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5766	    212514 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5770	    213741 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-10  	    5764	    211152 ns/op	  479766 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4314	    282171 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4220	    282367 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4311	    281307 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4282	    296806 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4040	    283844 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4336	    280769 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4309	    281620 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4310	    280655 ns/op	  656267 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4246	    282381 ns/op	  656266 B/op	   11034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-10     	    4275	    288976 ns/op	  656265 B/op	   11034 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   59461	     20955 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   58934	     20120 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   62296	     20154 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   59412	     20023 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   60211	     19225 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   61940	     20503 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   59728	     19775 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   62434	     19220 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   62911	     19378 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-10                    	   61380	     19244 ns/op	   43328 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5943	    208461 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5779	    208536 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5817	    210733 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5761	    209638 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5785	    208879 ns/op	  479764 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5772	    213489 ns/op	  479766 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5799	    209828 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5772	    209486 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5730	    247732 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-10                   	    5418	    214167 ns/op	  479766 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     482	   2574205 ns/op	 4849281 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     454	   2691443 ns/op	 4849283 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     442	   2690358 ns/op	 4849278 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     442	   2627131 ns/op	 4849279 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     471	   2532662 ns/op	 4849285 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     380	   2655350 ns/op	 4849281 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     382	   2777628 ns/op	 4849277 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     412	   2820893 ns/op	 4849279 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     434	   2823050 ns/op	 4849283 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-10                  	     439	   2690085 ns/op	 4849279 B/op	   80095 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    5100	    242563 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    4922	    334183 ns/op	  479766 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    3556	    298891 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    5014	    265487 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    4210	    239272 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    5677	    244964 ns/op	  479765 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    5307	    314479 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    3862	    312535 ns/op	  479767 B/op	    8032 allocs/op
BenchmarkHashJoinSingleIteration-10                       	    5721	    207410 ns/op	  479766 B/op	    8032 allocs/op
