goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     402	   2967200 ns/op	 3048841 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     406	   2977061 ns/op	 3048839 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     391	   3015492 ns/op	 3048845 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     474	   2521963 ns/op	 3416520 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     470	   2487533 ns/op	 3416520 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     457	   2494144 ns/op	 3416515 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     480	   2531195 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     469	   2495646 ns/op	 3416520 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      20	  60154496 ns/op	99465736 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  60743796 ns/op	99510830 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  59627950 ns/op	99450406 B/op	  522893 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  60098695 ns/op	99532405 B/op	  522897 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      18	  62147046 ns/op	99501725 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  48694631 ns/op	68002213 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  48049384 ns/op	68002243 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      21	  47931726 ns/op	68002261 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  46366835 ns/op	68002208 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      21	  47832224 ns/op	68002252 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     135	   8976866 ns/op	 5129479 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     134	   8873092 ns/op	 5129459 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   8891901 ns/op	 5129463 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     134	   8907514 ns/op	 5129478 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     134	   8893590 ns/op	 5129480 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11522296 ns/op	 6728332 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11498713 ns/op	 6728328 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11438048 ns/op	 6728320 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11561949 ns/op	 6728306 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11414559 ns/op	 6728344 B/op	  135488 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     292	   4112722 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     291	   4150191 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     289	   4164255 ns/op	 4849300 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     289	   4280550 ns/op	 4849302 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     270	   4172838 ns/op	 4849307 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      58	  19630795 ns/op	24366495 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      54	  19958981 ns/op	24366500 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      51	  20023040 ns/op	24366487 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      57	  19892418 ns/op	24366487 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      60	  19770638 ns/op	24366497 B/op	  400295 allocs/op
PASS
