goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/Nothing_bound-10  	    4770	    246531 ns/op	 1355171 B/op	    4024 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6501279	       177.7 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6640735	       176.0 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6651009	       178.8 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6525480	       179.5 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6688093	       178.8 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6485659	       182.9 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6478440	       185.0 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6380767	       179.9 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6492999	       182.8 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6596192	       184.3 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3347203	       350.1 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3432542	       345.6 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3378864	       348.9 ns/op	    1355 B/op	      12 allocs/op
