goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     430	   2760103 ns/op	 3048843 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     430	   2708775 ns/op	 3048841 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     439	   2685709 ns/op	 3048847 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     451	   2671328 ns/op	 3048843 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     537	   2263627 ns/op	 3416518 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     544	   2284628 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     513	   2298154 ns/op	 3416520 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     530	   2281379 ns/op	 3416519 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     530	   2286622 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      24	  47191148 ns/op	99469816 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      24	  47350878 ns/op	99490300 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      22	  47092343 ns/op	99481039 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      24	  47209134 ns/op	99480080 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      25	  49387010 ns/op	99497707 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      32	  37535547 ns/op	68002251 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      31	  37343328 ns/op	68002257 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      31	  37102676 ns/op	68002235 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      30	  38000512 ns/op	68002225 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      27	  38433718 ns/op	68002262 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     164	   7227272 ns/op	 5129475 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     168	   7222753 ns/op	 5129472 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     166	   7148690 ns/op	 5129476 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     166	   7212920 ns/op	 5129458 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     166	   7152500 ns/op	 5129478 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     129	   9111299 ns/op	 6728316 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     128	   9145213 ns/op	 6728325 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     130	   9153770 ns/op	 6728332 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     129	   9053305 ns/op	 6728325 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     130	   9118061 ns/op	 6728330 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     351	   3452382 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     345	   3373933 ns/op	 4849299 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     351	   3408999 ns/op	 4849300 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     354	   3427131 ns/op	 4849302 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     351	   3395654 ns/op	 4849303 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      72	  15152061 ns/op	24366490 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      88	  15334183 ns/op	24366484 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      69	  15445884 ns/op	24367697 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      79	  15167189 ns/op	24366492 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      76	  15195724 ns/op	24366493 B/op	  400295 allocs/op
PASS
